Div,Date,Time,HomeTeam,AwayTeam,Referee,B365H,B365D,B365A,BFDH,BFDD,BFDA,BMGMH,BMGMD,BMGMA,BVH,BVD,BVA,BWH,BWD,BWA,CLH,CLD,CLA,LBH,LBD,LBA,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BMGMCH,BMGMCD,BMGMCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,CLCH,CLCD,CLCA,LBCH,LBCD,LBCA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
B1,05/12/2025,19:45,RAAL La Louviere,Dender,,2.15,3.2,3.4,2.15,3.1,3.4,2.18,3.15,3.45,2.15,3.2,3.4,2.25,3.2,3.3,2.25,3.2,3.3,2.25,3.1,3.3,,,,2.25,3.2,3.55,2.18,3.14,3.41,2.28,3.15,3.9,2.2,1.65,,,2.25,1.65,2.22,1.6,2.3,1.73,-0.25,1.85,1.95,,,1.85,1.95,1.83,1.89,1.93,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,06/12/2025,15:00,Cercle Brugge,Standard,,1.9,3.4,4.1,1.91,3.5,3.75,1.91,3.5,3.9,1.87,3.5,3.7,1.95,3.6,3.8,1.95,3.6,3.8,1.95,3.5,3.8,,,,1.95,3.6,4.1,1.91,3.5,3.82,1.96,3.55,4.4,1.85,1.95,,,1.85,1.96,1.8,1.91,1.54,2,-0.5,1.93,1.88,,,1.93,1.91,1.86,1.85,1.96,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,06/12/2025,17:15,St. Gilloise,Gent,,1.38,4.5,8,1.36,4.6,7.5,1.4,4.75,7.5,1.36,4.6,7,1.41,4.8,7.25,1.4,4.8,7.5,1.4,4.8,7,,,,1.41,5,8,1.38,4.72,7.36,1.4,5.5,8,1.6,2.3,,,1.62,2.3,1.58,2.24,1.59,2.38,-1.25,1.85,1.95,,,1.85,1.95,1.82,1.92,1.84,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,06/12/2025,19:45,St Truiden,Club Brugge,,4.1,3.7,1.83,4,3.75,1.8,4.1,3.8,1.79,3.7,3.8,1.8,4,3.9,1.8,4,4,1.8,4,3.9,1.8,,,,4.1,4,1.85,3.9,3.83,1.8,4.1,4,1.86,1.57,2.35,,,1.57,2.4,1.55,2.32,1.58,2.46,0.5,1.98,1.83,,,2,1.83,1.94,1.78,2.02,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,07/12/2025,12:30,Mechelen,Charleroi,,2.9,3.3,2.35,2.88,3.3,2.3,2.75,3.4,2.45,2.8,3.4,2.3,2.87,3.5,2.35,2.87,3.5,2.37,2.87,3.5,2.3,,,,2.95,3.5,2.45,2.85,3.37,2.35,3.2,3.35,2.4,1.8,2,,,1.8,2,1.77,1.95,1.81,2.04,0.25,1.78,2.03,,,1.78,2.08,1.73,2.02,1.84,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,07/12/2025,15:00,Westerlo,Anderlecht,,3,3.6,2.25,3,3.5,2.2,3.15,3.7,2.1,2.8,3.6,2.2,2.95,3.75,2.2,3,3.75,2.2,3,3.75,2.2,,,,3.15,3.75,2.25,2.97,3.61,2.19,3.1,3.5,2.34,1.6,2.3,,,1.62,2.3,1.59,2.22,1.63,2.36,0.25,1.83,1.98,,,1.94,1.98,1.86,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,07/12/2025,17:30,Antwerp,Genk,,3.25,3.5,2.1,3.4,3.4,2.05,3.55,3.45,2.02,3.25,3.4,2.05,3.5,3.5,2.05,3.5,3.5,2.05,3.4,3.5,2.05,,,,3.55,3.5,2.15,3.38,3.42,2.06,3.55,3.65,2.24,1.85,1.95,,,1.9,1.95,1.83,1.88,1.87,1.99,0.25,1.98,1.83,,,2.04,1.83,1.98,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,07/12/2025,18:15,Oud-Heverlee Leuven,Waregem,,2.1,3.4,3.4,2.15,3.3,3.2,2.23,3.35,3.2,2.05,3.4,3.2,2.15,3.4,3.3,2.15,3.5,3.3,2.15,3.4,3.3,,,,2.23,3.5,3.4,2.13,3.37,3.26,2.12,3.35,3.9,1.88,1.93,,,1.89,1.93,1.85,1.85,1.92,1.94,-0.25,1.83,1.98,,,1.89,1.98,1.83,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,05/12/2025,19:30,Mainz,M'gladbach,,2.55,3.4,2.63,2.6,3.4,2.6,2.6,3.35,2.7,2.55,3.5,2.55,2.45,3.4,2.75,2.45,3.4,2.75,2.45,3.4,2.75,2.68,3.55,2.69,2.63,3.5,2.75,2.55,3.41,2.65,2.68,3.65,2.78,1.73,2.1,1.76,2.18,1.75,2.15,1.7,2.1,1.78,2.26,0,1.93,1.93,1.96,1.96,1.93,1.94,1.87,1.89,1.95,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,06/12/2025,14:30,Augsburg,Leverkusen,,3.7,4,1.9,3.75,3.75,1.9,3.7,3.85,1.91,3.5,3.7,1.83,3.7,3.8,1.9,3.7,3.8,1.91,3.7,3.8,1.91,3.82,3.94,1.93,3.8,4,1.91,3.68,3.8,1.88,4,4,1.96,1.62,2.3,1.64,2.35,1.62,2.38,1.58,2.31,1.66,2.44,0.5,1.95,1.9,1.97,1.93,1.98,1.9,1.93,1.83,2.02,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,06/12/2025,14:30,FC Koln,St Pauli,,1.95,3.6,3.8,1.95,3.5,3.75,1.95,3.6,3.8,1.91,3.4,3.5,1.98,3.6,3.6,2,3.6,3.6,1.95,3.6,3.6,1.99,3.69,3.82,2,3.66,3.8,1.95,3.55,3.68,2.02,3.8,4,1.91,1.91,1.94,1.94,1.91,2,1.83,1.93,1.96,2,-0.5,1.98,1.88,2,1.9,1.98,1.9,1.91,1.85,2.02,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,06/12/2025,14:30,Heidenheim,Freiburg,,3.9,3.6,1.91,3.75,3.5,1.95,3.8,3.65,1.95,3.75,3.4,1.85,3.8,3.5,1.95,3.8,3.5,1.95,3.8,3.5,1.95,4.03,3.65,1.95,3.9,3.65,2,3.8,3.51,1.93,4.2,3.7,2.02,1.91,1.91,1.93,1.96,1.91,1.92,1.85,1.9,1.95,2,0.5,1.93,1.93,1.94,1.96,1.93,1.95,1.86,1.9,1.98,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,06/12/2025,14:30,Stuttgart,Bayern Munich,,5.75,5,1.45,5.5,5,1.44,6,5,1.46,5.25,4.6,1.44,5.25,5.25,1.5,5.25,5.25,1.5,5,5,1.5,5.4,5.21,1.51,6,5.33,1.5,5.43,5,1.47,5.8,5.4,1.54,1.33,3.4,1.36,3.28,1.35,3.4,1.33,3.23,1.37,3.6,1.25,1.88,1.98,1.9,2,1.89,1.98,1.86,1.92,1.92,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,06/12/2025,14:30,Wolfsburg,Union Berlin,,2.15,3.4,3.5,2.1,3.4,3.4,2.08,3.55,3.45,2.05,3.3,3.2,2.1,3.5,3.4,2.1,3.5,3.4,2.1,3.5,3.3,2.17,3.44,3.53,2.16,3.55,3.5,2.1,3.41,3.38,2.28,3.55,3.55,1.93,1.93,1.96,1.93,1.94,1.94,1.87,1.88,1.97,2,-0.25,1.85,2,1.88,2.03,1.85,2.02,1.81,1.97,1.95,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,06/12/2025,17:30,RB Leipzig,Ein Frankfurt,,1.73,4.2,4.2,1.73,4,4.2,1.74,4.2,4.2,1.65,4,3.8,1.75,4.2,4,1.75,4.2,4,1.75,4.2,4,1.79,4.24,4.13,1.75,4.25,4.2,1.73,4.13,4.06,1.84,4.2,4.4,1.44,2.75,1.46,2.76,1.45,2.85,1.42,2.73,1.49,2.92,-0.75,1.95,1.9,2.01,1.89,1.95,1.9,1.9,1.87,2.04,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,07/12/2025,14:30,Hamburg,Werder Bremen,,2.25,3.5,3,2.25,3.5,3,2.23,3.65,3.05,2.2,3.5,2.8,2.25,3.7,2.9,2.25,3.7,2.9,2.25,3.7,2.9,2.36,3.62,3,2.3,3.7,3.1,2.25,3.53,2.96,2.4,3.6,3.05,1.73,2.1,1.73,2.2,1.73,2.28,1.65,2.16,1.72,2.3,-0.25,2,1.85,2.06,1.85,2,1.87,1.93,1.83,2.09,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,07/12/2025,16:30,Dortmund,Hoffenheim,,1.62,4.5,4.75,1.57,4.33,5,1.54,4.6,5.4,1.55,4.1,4.75,1.57,4.6,4.8,1.57,4.6,4.8,1.57,4.6,4.8,1.63,4.55,4.89,1.65,4.6,5.4,1.58,4.41,4.84,1.63,4.7,5.4,1.5,2.63,1.5,2.64,1.5,2.7,1.47,2.6,1.52,2.78,-1,2,1.85,2.03,1.88,2,1.95,1.92,1.85,2.02,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,05/12/2025,17:30,Fortuna Dusseldorf,Schalke 04,,3.25,3.4,2.15,3.2,3.3,2.15,3.1,3.3,2.23,3.13,3.4,2.15,3.3,3.5,2.15,3.1,3.25,2.05,3.1,3.25,2.05,,,,3.3,3.5,2.25,3.17,3.34,2.16,3.4,3.6,2.3,1.9,1.9,,,1.9,1.9,1.83,1.86,1.95,2.02,0.25,1.9,1.9,,,1.9,1.9,1.84,1.85,1.99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
