Div,Date,Time,HomeTeam,AwayTeam,Referee,B365H,B365D,B365A,BFDH,BFDD,BFDA,BMGMH,BMGMD,BMGMA,BVH,BVD,BVA,BWH,BWD,BWA,CLH,CLD,CLA,LBH,LBD,LBA,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BMGMCH,BMGMCD,BMGMCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,CLCH,CLCD,CLCA,LBCH,LBCD,LBCA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
E0,01/01/2026,17:30,Crystal Palace,Fulham,T Harrington,2.15,3.3,3.4,2.2,3.3,3.5,2.17,3.4,3.5,2.15,3.4,3.4,2.15,3.4,3.3,2.15,3.4,3.3,2.15,3.4,3.3,2.2,3.34,3.59,2.2,3.4,3.5,2.17,3.34,3.4,2.28,3.45,3.6,2.1,1.73,2.11,1.79,2.1,1.78,2.01,1.74,2.16,1.84,-0.25,1.88,1.98,1.88,2.02,1.88,1.98,1.83,1.94,1.95,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,01/01/2026,17:30,Liverpool,Leeds,C Kavanagh,1.55,4.5,5.5,1.53,4.5,6,1.5,4.6,6.4,1.53,4.4,5.75,1.53,4.5,5.5,1.53,4.5,5.5,1.53,4.4,5.5,1.55,4.45,5.94,1.55,4.6,6.4,1.53,4.41,5.83,1.57,4.7,6.6,1.62,2.3,1.64,2.35,1.62,2.38,1.59,2.29,1.65,2.5,-1,1.88,1.98,1.93,1.97,1.91,2.02,1.83,1.95,1.93,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,01/01/2026,20:00,Brentford,Tottenham,A Madley,2.1,3.6,3.2,2.15,3.5,3.5,2.14,3.55,3.4,2.15,3.5,3.3,2.1,3.5,3.3,2.1,3.5,3.3,2.1,3.5,3.3,2.18,3.49,3.48,2.15,3.6,3.5,2.11,3.49,3.35,2.22,3.7,3.55,1.93,1.93,1.95,1.93,1.93,1.96,1.87,1.88,2,1.98,-0.25,1.85,2,1.88,2.03,1.85,2,1.81,1.96,1.9,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,01/01/2026,20:00,Sunderland,Man City,J Gillett,7.5,4.75,1.38,8.5,5,1.4,8.5,4.9,1.4,8,5,1.36,7.25,4.6,1.42,7.5,4.6,1.44,7,4.6,1.4,7.71,5.15,1.4,8.5,5,1.44,7.81,4.82,1.39,8.8,5.2,1.43,1.62,2.3,1.67,2.3,1.65,2.3,1.62,2.22,1.7,2.36,1.25,2,1.85,2.04,1.88,2,1.86,1.95,1.82,2.03,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,01/01/2026,12:30,Blackburn,Wrexham,T Kirk,2.05,3.5,3.5,2.1,3.3,3.5,2.1,3.45,3.65,2.1,3.4,3.5,2.05,3.5,3.5,2.05,3.5,3.5,2.05,3.5,3.5,2.09,3.44,3.56,2.1,3.6,3.66,2.06,3.41,3.52,2.2,3.55,3.7,2.05,1.8,2.06,1.81,2.1,1.8,2,1.76,2.14,1.85,-0.5,2.05,1.75,2.1,1.78,2.1,1.8,2.01,1.74,2.2,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,01/01/2026,15:00,Bristol City,Portsmouth,J Bell,1.66,3.7,4.75,1.73,3.75,4.6,1.74,3.85,4.9,1.7,3.8,4.8,1.75,3.8,4.5,1.75,3.8,4.5,1.75,3.75,4.4,1.69,3.93,4.81,1.75,4,4.9,1.71,3.78,4.65,1.76,4,5.1,1.88,1.98,1.88,1.97,1.91,1.98,1.84,1.9,1.93,2,-0.75,1.93,1.93,1.92,1.95,1.93,1.95,1.87,1.89,1.98,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,01/01/2026,15:00,Charlton,Coventry,J Smith,3.9,3.5,1.86,3.75,3.5,1.95,3.85,3.55,1.98,3.9,3.6,1.9,3.7,3.6,1.98,3.7,3.6,1.95,3.7,3.5,1.95,3.82,3.68,1.93,4,3.6,1.98,3.81,3.52,1.93,4.1,3.85,1.96,1.93,1.93,1.91,1.94,1.93,1.93,1.86,1.88,1.96,1.98,0.5,1.93,1.93,1.93,1.94,1.93,1.93,1.86,1.87,2.01,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,01/01/2026,15:00,Derby,Middlesbrough,R Ricardo,3.05,3.25,2.25,3,3.2,2.4,3.15,3.25,2.43,3.13,3.3,2.3,3,3.25,2.4,3,3.25,2.4,3,3.25,2.37,3.13,3.32,2.33,3.15,3.33,2.43,3.06,3.24,2.34,3.25,3.4,2.46,2.1,1.73,2.18,1.71,2.15,1.73,2.1,1.69,2.28,1.75,0.25,1.85,2,1.85,2.02,1.85,2,1.79,1.91,1.88,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,01/01/2026,15:00,Hull,Stoke,C Pawson,2.32,3.2,3.05,2.38,3.2,3,2.33,3.45,3.1,2.38,3.25,3,2.35,3.4,3,2.3,3.4,3,2.3,3.4,3,2.41,3.28,3.04,2.45,3.45,3.1,2.35,3.27,3.02,2.46,3.45,3.25,2.1,1.73,2.09,1.77,2.1,1.84,2,1.76,2.16,1.81,-0.25,2.05,1.8,2.08,1.81,2.05,1.81,1.97,1.77,2.1,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,01/01/2026,15:00,Ipswich,Oxford,W Finnie,1.3,4.75,11,1.3,5,10,1.33,5.25,10,1.3,5.25,10,1.33,5.25,9,1.33,5.25,9,1.33,5.25,9,1.31,5.31,9.45,1.33,5.33,11,1.31,5.08,9.58,1.33,5.6,12,1.73,2.1,1.75,2.11,1.73,2.1,1.71,2.07,1.8,2.2,-1.5,1.98,1.88,1.95,1.92,1.98,1.88,1.91,1.83,1.99,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
