Div,Date,Time,HomeTeam,AwayTeam,B365H,B365D,B365A,B365>2.5,B365<2.5
E0,2025-12-26,20:00,Man United,Newcastle,2.55,3.6,2.6,1.67,2.2
E0,2025-12-27,12:30,Nott'm Forest,Man City,5.0,4.33,1.6,1.67,2.2
E0,2025-12-27,15:00,Arsenal,Brighton,1.42,4.75,7.0,1.67,2.2
E0,2025-12-27,15:00,Brentford,Bournemouth,2.25,3.6,3.0,1.67,2.2
E0,2025-12-27,15:00,Burnley,Everton,4.1,3.4,1.95,2.2,1.67
E0,2025-12-27,15:00,Liverpool,Wolves,1.25,6.5,10.0,1.5,2.63
E0,2025-12-27,15:00,West Ham,Fulham,2.63,3.4,2.6,1.8,2.0
E0,2025-12-27,17:30,Chelsea,Aston Villa,1.83,3.9,4.0,1.67,2.2
E0,2025-12-28,14:00,Sunderland,Leeds,2.5,3.1,2.88,2.2,1.67
E0,2025-12-28,16:30,Crystal Palace,Tottenham,2.25,3.25,3.2,2.0,1.8
I1,2025-12-27,11:30,Parma,Fiorentina,3.5,3.0,2.25,2.2,1.67
I1,2025-12-27,14:00,Lecce,Como,4.75,3.3,1.8,2.3,1.62
I1,2025-12-27,14:00,Torino,Cagliari,1.91,3.2,4.2,2.2,1.67
I1,2025-12-27,17:00,Udinese,Lazio,3.1,3.0,2.45,2.3,1.62
I1,2025-12-27,19:45,Pisa,Juventus,7.5,4.5,1.4,1.91,1.91
I1,2025-12-28,11:30,Milan,Verona,1.38,4.75,8.5,1.8,2.0
I1,2025-12-28,14:00,Cremonese,Napoli,6.25,3.9,1.55,2.1,1.73
I1,2025-12-28,17:00,Bologna,Sassuolo,1.75,3.6,4.75,2.0,1.8
I1,2025-12-28,19:45,Atalanta,Inter,3.5,3.5,2.0,1.73,2.1
I1,2025-12-29,19:45,Roma,Genoa,1.6,3.6,6.25,2.38,1.57
I2,2025-12-26,16:15,Modena,Monza,2.25,3.05,3.05,2.4,1.53
I2,2025-12-27,11:30,Spezia,Pescara,1.66,3.5,4.5,1.85,1.95
I2,2025-12-27,14:00,Carrarese,Mantova,2.05,3.3,3.3,1.93,1.88
I2,2025-12-27,14:00,Catanzaro,Cesena,2.5,2.95,2.85,2.2,1.65
I2,2025-12-27,14:00,Empoli,Frosinone,2.4,3.2,2.7,1.98,1.83
I2,2025-12-27,14:00,Juve Stabia,Sudtirol,2.1,3.05,3.6,2.35,1.57
I2,2025-12-27,14:00,Sampdoria,Reggiana,1.86,3.25,3.9,2.2,1.65
I2,2025-12-27,14:00,Venezia,Virtus Entella,1.41,4.0,7.5,1.85,1.95
I2,2025-12-27,16:15,Palermo,Padova,1.46,3.8,6.5,1.95,1.85
I2,2025-12-27,18:30,Bari,Avellino,2.15,3.05,3.2,2.2,1.65
E1,2025-12-29,18:00,Coventry,Ipswich,2.3,3.25,2.95,1.93,1.93
E1,2025-12-29,19:45,Leicester,Derby,2.05,3.25,3.5,2.2,1.67
E1,2025-12-29,19:45,Middlesbrough,Hull,1.62,3.9,4.5,1.73,2.1
E1,2025-12-29,19:45,Millwall,Bristol City,2.32,3.25,2.95,2.0,1.8
E1,2025-12-29,19:45,Norwich,Watford,2.5,3.4,2.65,1.8,2.0
E1,2025-12-29,19:45,Oxford,Swansea,2.75,3.05,2.55,2.1,1.73
E1,2025-12-29,19:45,Portsmouth,Charlton,2.2,3.2,3.25,2.3,1.62
E1,2025-12-29,19:45,Sheffield Weds,Blackburn,4.5,3.6,1.71,1.93,1.93
E1,2025-12-29,19:45,Stoke,Sheffield United,2.75,3.25,2.5,2.05,1.8
E1,2025-12-29,19:45,West Brom,QPR,2.01,3.4,3.5,2.05,1.8
E1,2025-12-29,19:45,Wrexham,Preston,2.05,3.25,3.5,2.1,1.73
E1,2025-12-29,20:15,Birmingham,Southampton,2.3,3.4,2.85,1.8,2.0
E2,2025-12-29,19:45,AFC Wimbledon,Exeter,2.3,3.2,2.95,2.35,1.57
E2,2025-12-29,19:45,Barnsley,Lincoln,2.65,3.25,2.5,1.8,2.0
E2,2025-12-29,19:45,Blackpool,Rotherham,1.86,3.4,3.9,2.0,1.8
E2,2025-12-29,19:45,Bolton,Mansfield,1.42,4.2,7.0,1.67,2.15
E2,2025-12-29,19:45,Bradford,Port Vale,1.68,3.7,4.5,1.95,1.85
E2,2025-12-29,19:45,Burton,Wigan,2.57,3.2,2.55,2.25,1.62
E2,2025-12-29,19:45,Cardiff,Stevenage,1.71,3.3,5.0,2.08,1.73
E2,2025-12-29,19:45,Huddersfield,Northampton,1.49,3.75,6.25,1.95,1.85
E2,2025-12-29,19:45,Luton,Leyton Orient,1.66,3.5,4.75,1.95,1.85
E2,2025-12-29,19:45,Peterboro,Reading,2.32,3.4,2.85,1.85,1.95
E2,2025-12-29,19:45,Plymouth,Wycombe,3.3,3.3,2.05,1.95,1.85
E2,2025-12-29,19:45,Stockport,Doncaster,1.81,3.6,3.9,1.8,2.0
E3,2025-12-29,19:30,Newport County,Crewe,3.6,3.4,1.96,1.9,1.95
E3,2025-12-29,19:45,Accrington,Harrogate,1.68,3.5,4.75,2.05,1.8
E3,2025-12-29,19:45,Bristol Rvs,Barnet,3.3,3.4,2.01,2.0,1.8
E3,2025-12-29,19:45,Cheltenham,Swindon,3.9,3.6,1.81,1.85,2.0
E3,2025-12-29,19:45,Chesterfield,Cambridge,2.5,3.2,2.65,2.1,1.7
E3,2025-12-29,19:45,Crawley Town,Bromley,2.65,3.5,2.35,1.75,2.05
E3,2025-12-29,19:45,Gillingham,Colchester,2.5,3.2,2.65,2.1,1.7
E3,2025-12-29,19:45,Grimsby,Shrewsbury,1.71,3.7,4.33,1.9,1.95
E3,2025-12-29,19:45,Milton Keynes Dons,Notts County,1.86,3.4,3.9,1.9,1.9
E3,2025-12-29,19:45,Salford,Fleetwood Town,1.68,3.75,4.33,1.62,2.25
E3,2025-12-29,19:45,Tranmere,Barrow,1.96,3.3,3.75,2.0,1.8
