Div,Date,Time,HomeTeam,AwayTeam,Referee,B365H,B365D,B365A,BFDH,BFDD,BFDA,BMGMH,BMGMD,BMGMA,BVH,BVD,BVA,BWH,BWD,BWA,CLH,CLD,CLA,LBH,LBD,LBA,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BMGMCH,BMGMCD,BMGMCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,CLCH,CLCD,CLCA,LBCH,LBCD,LBCA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
E2,20/11/2025,20:00,Peterboro,Stockport,M Russell,3.05,3.5,2.1,3.1,3.25,2.1,3.3,3.5,2.1,3,3.4,2.15,3.1,3.5,2.15,3.1,3.6,2.2,3.1,3.5,2.15,,,,3.35,3.6,2.2,3.14,3.45,2.14,3.4,3.5,2.3,1.8,2,,,1.85,2,1.78,1.95,1.78,2.12,0.25,1.93,1.93,,,1.93,1.93,1.89,1.81,1.97,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,21/11/2025,19:45,Standard,Waregem,,2.25,3.3,2.8,2.25,3.3,3,2.25,3.5,3.05,2.3,3.4,2.9,2.35,3.4,2.95,2.3,3.4,3,2.3,3.4,2.9,,,,2.38,3.5,3.05,2.28,3.38,2.96,2.42,3.45,3.2,1.8,2,,,1.83,2,1.78,1.94,1.9,2.06,-0.25,2,1.8,,,2,1.86,1.95,1.8,2.07,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,22/11/2025,15:00,St. Gilloise,Cercle Brugge,,1.38,4.33,7,1.4,4.5,7,1.37,5.1,7.5,1.4,4.5,6.5,1.44,4.75,6.5,1.44,4.8,6.5,1.44,4.8,6.5,,,,1.44,5.1,7.5,1.4,4.72,6.69,1.43,5,8.2,1.53,2.4,,,1.57,2.42,1.53,2.35,1.57,2.52,-1.25,1.9,1.9,,,1.9,2,1.83,1.91,1.91,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,22/11/2025,17:15,Westerlo,Gent,,2.3,3.6,2.63,2.3,3.5,2.8,2.32,3.35,3,2.25,3.6,2.7,2.25,3.7,2.9,2.25,3.7,2.9,2.25,3.7,2.87,,,,2.38,3.7,3,2.29,3.54,2.81,2.4,3.8,2.84,1.57,2.35,,,1.58,2.38,1.55,2.3,1.59,2.44,-0.25,2.08,1.73,,,2.08,1.81,2,1.76,2.09,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,22/11/2025,19:45,Club Brugge,Charleroi,,1.44,4,6.5,1.4,4.5,6.5,1.42,4.7,6.75,1.44,4.33,6,1.47,4.6,6.25,1.48,4.6,6.5,1.48,4.5,6.5,,,,1.48,4.7,7,1.45,4.46,6.33,1.49,4.6,6.6,1.65,2.2,,,1.65,2.3,1.6,2.21,1.21,1.25,-1.25,2.03,1.78,,,2.03,1.88,1.94,1.81,1.98,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,23/11/2025,12:30,Genk,Mechelen,,1.5,3.9,5.5,1.53,4.2,5.5,1.57,4.1,5.5,1.5,4.33,5.25,1.58,4.33,5.25,1.57,4.33,5.25,1.57,4.33,5,,,,1.58,4.5,5.5,1.54,4.23,5.27,1.57,4.7,5.9,1.53,2.4,,,1.55,2.45,1.52,2.37,1.45,2.58,-1,1.85,1.95,,,1.93,1.95,1.88,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,23/11/2025,15:00,Antwerp,Dender,,1.83,3.4,3.9,1.9,3.4,4,1.91,3.65,3.75,1.8,3.5,4,1.9,3.6,3.9,1.91,3.6,3.9,1.91,3.6,3.9,,,,1.91,3.65,4.2,1.86,3.54,3.95,1.86,3.55,5.2,1.9,1.9,,,1.91,1.9,1.86,1.84,1.9,1.92,-0.5,1.83,1.98,,,1.92,1.98,1.83,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,23/11/2025,17:30,RAAL La Louviere,Anderlecht,,3.8,3.1,1.91,4,3.25,1.91,4.2,3.5,1.84,,,,3.9,3.4,1.95,3.9,3.4,1.95,3.9,3.4,1.95,,,,4.2,3.5,1.95,3.96,3.34,1.91,4.5,3.3,1.99,2.15,1.67,,,2.15,1.7,2.08,1.67,2.2,1.7,0.5,1.85,1.95,,,1.94,1.95,1.86,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,23/11/2025,18:15,Oud-Heverlee Leuven,St Truiden,,2.5,3.1,2.7,2.5,3.2,2.75,2.55,3.05,2.88,2.5,3.25,2.6,2.6,3.4,2.65,2.6,3.4,2.7,2.6,3.3,2.62,,,,2.6,3.4,2.88,2.55,3.19,2.72,2.76,3.3,2.9,1.93,1.88,,,1.95,1.88,1.91,1.8,1.01,1.9,0,1.85,1.95,,,1.85,1.95,1.82,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,21/11/2025,19:30,Mainz,Hoffenheim,,2.6,3.6,2.7,2.5,3.5,2.75,2.5,3.55,2.65,2.45,3.7,2.6,2.45,3.6,2.7,2.45,3.6,2.7,2.4,3.6,2.7,2.59,3.6,2.71,2.6,3.7,2.75,2.48,3.56,2.65,2.64,3.75,2.78,1.67,2.2,1.68,2.29,1.67,2.32,1.6,2.27,1.7,2.4,0,1.88,1.98,1.91,2,1.88,1.98,1.83,1.93,1.94,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
