Div,Date,Time,HomeTeam,AwayTeam,Referee,B365H,B365D,B365A,BFDH,BFDD,BFDA,BMGMH,BMGMD,BMGMA,BVH,BVD,BVA,BWH,BWD,BWA,CLH,CLD,CLA,LBH,LBD,LBA,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BMGMCH,BMGMCD,BMGMCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,CLCH,CLCD,CLCA,LBCH,LBCD,LBCA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
B1,12/12/2025,19:45,Standard,Oud-Heverlee Leuven,,2.35,3,3.2,2.3,3.1,3.1,2.38,3.1,3.1,2.3,3.2,3.13,2.4,3.2,3.1,2.4,3.2,3.1,2.37,3.2,3,,,,2.4,3.25,3.2,2.32,3.13,3.12,2.4,3.2,3.5,2.25,1.62,,,2.28,1.67,2.21,1.59,2.34,1.69,-0.25,1.98,1.83,,,2,1.83,1.96,1.78,2.04,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,13/12/2025,15:00,Cercle Brugge,Mechelen,,1.8,3.8,3.9,1.8,3.75,4,1.79,3.85,4.1,1.75,3.7,4,1.78,3.9,4.2,1.8,3.9,4.2,1.8,3.8,4.2,,,,1.81,3.9,4.2,1.78,3.78,4.03,1.82,4,4.4,1.65,2.2,,,1.65,2.25,1.6,2.2,1.66,2.3,-0.5,1.8,2,,,1.83,2,1.76,1.96,1.82,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,13/12/2025,17:15,Waregem,RAAL La Louviere,,2.25,3.25,3.2,2.25,3.2,3.1,2.2,3.25,3.25,2.2,3.2,3.1,2.3,3.3,3.1,2.3,3.3,3.1,2.3,3.3,3,,,,2.3,3.3,3.25,2.24,3.23,3.14,2.32,3.1,3.45,2.05,1.75,,,2.1,1.75,2.02,1.71,2.08,1.8,-0.25,1.95,1.85,,,1.95,1.88,1.89,1.84,1.97,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,13/12/2025,19:45,Anderlecht,St Truiden,,1.85,3.75,3.7,1.9,3.6,3.75,1.82,3.8,4,1.87,3.6,3.6,1.87,3.8,3.8,1.85,3.8,3.8,1.85,3.8,3.75,,,,1.91,3.8,4,1.86,3.68,3.77,2.02,3.7,3.95,1.67,2.15,,,1.67,2.2,1.64,2.14,1.69,2.2,-0.5,1.9,1.9,,,1.9,1.95,1.84,1.87,2.02,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,14/12/2025,12:30,Gent,Antwerp,,2.2,3.4,3.2,2.2,3.3,3.1,2.15,3.45,3.25,2.15,3.4,3,2.25,3.5,3,2.25,3.5,3,2.25,3.5,3,,,,2.25,3.5,3.33,2.18,3.39,3.12,2.34,3.35,3.45,1.83,1.98,,,1.83,1.98,1.8,1.91,1.84,2,-0.25,1.9,1.9,,,1.9,1.91,1.84,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,14/12/2025,15:00,Dender,Club Brugge,,5.25,4.33,1.55,5.5,4.2,1.53,5.6,4.1,1.56,5.25,4.2,1.5,5.25,4.4,1.57,5.25,4.4,1.57,5,4.4,1.57,,,,5.6,4.5,1.57,5.25,4.24,1.54,5.6,4.7,1.58,1.53,2.4,,,1.61,2.4,1.55,2.31,1.01,2.44,1,1.9,1.9,,,1.91,1.9,1.86,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,14/12/2025,17:30,Charleroi,St. Gilloise,,4.33,3.5,1.83,4.2,3.5,1.8,4.5,3.45,1.82,4.1,3.4,1.8,4.33,3.7,1.8,4.33,3.7,1.8,4.33,3.6,1.8,,,,4.75,3.7,1.83,4.31,3.48,1.8,4.6,3.65,1.84,1.95,1.85,,,2,1.85,1.94,1.78,2,1.82,0.5,1.98,1.83,,,2,1.83,1.96,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,14/12/2025,18:15,Genk,Westerlo,,1.7,4.1,4.33,1.67,4,4.33,1.62,4.2,4.75,1.65,4.1,4.2,1.7,4.2,4.33,1.7,4.2,4.33,1.7,4.2,4.2,,,,1.7,4.2,4.75,1.66,4.11,4.35,1.69,4.5,5.2,1.48,2.6,,,1.5,2.63,1.46,2.54,1.47,2.76,-0.75,1.85,1.95,,,1.85,2,1.8,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,12/12/2025,19:30,Union Berlin,RB Leipzig,,3.2,3.5,2.2,3.25,3.3,2.2,3.3,3.35,2.2,3.13,3.4,2.2,3.2,3.4,2.25,3.2,3.4,2.25,3.1,3.4,2.2,3.27,3.47,2.31,3.5,3.6,2.25,3.22,3.38,2.19,3.35,3.55,2.36,1.98,1.88,2.01,1.89,1.98,2,1.89,1.86,2,1.97,0.25,1.9,1.95,1.93,2,1.9,1.95,1.88,1.84,1.95,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,13/12/2025,14:30,Ein Frankfurt,Augsburg,,1.7,4.2,4.33,1.7,4,4.5,1.7,4,4.6,1.65,3.9,4.2,1.7,4.2,4.33,1.7,4.2,4.33,1.7,4.2,4.33,1.72,4.27,4.51,1.71,4.25,4.6,1.68,4.06,4.39,1.77,4.3,4.8,1.57,2.38,1.61,2.4,1.6,2.43,1.55,2.36,1.65,2.46,-0.75,1.9,1.95,1.92,1.99,1.9,1.95,1.84,1.92,1.96,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
